date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
0.0,0.0,0.0,-0.0,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718
0.0500347,0.0,-0.0001707077,-0.0,0.797172,0.797172,0.797173,0.797175,0.79718,0.79718,0.797173,0.797172,0.797172
0.100056,0.0,-0.00065028667,-0.0,0.797157,0.797158,0.797161,0.797167,0.797186,0.797186,0.797161,0.797157,0.797157
0.150054,0.0,-0.0013804436,-0.0,0.797147,0.79715,0.797156,0.79717,0.797212,0.797212,0.797156,0.797147,0.797147
0.200009,2.0593811e-08,-0.0022878566,1.1799387e-05,0.797126,0.797179,0.797172,0.797188,0.797268,0.797267,0.797167,0.797152,0.79715
0.25001,-4.4461859e-06,-0.0033317529,-0.0036400177,0.797124,0.797111,0.797166,0.797258,0.797378,0.797344,0.797191,0.797166,0.797162
0.300037,5.7213192e-06,-0.004382849,0.0043713211,0.79717,0.797149,0.79716,0.797245,0.797441,0.797423,0.797226,0.797185,0.797172
0.350025,-1.4819224e-06,-0.0053867605,-0.00084906319,0.79719,0.797179,0.797194,0.797276,0.7975,0.797507,0.797234,0.797218,0.79716
0.400025,-3.0153675e-06,-0.0063200316,-0.0022739804,0.797182,0.797182,0.797211,0.797312,0.79758,0.797639,0.797226,0.797202,0.797211
0.450055,-3.1017066e-06,-0.0070843646,-0.0023234441,0.79714,0.797152,0.797203,0.797338,0.797663,0.797735,0.797241,0.797147,0.797184
0.500034,-3.3482769e-06,-0.0076324683,-0.0019183409,0.797092,0.797123,0.797204,0.797376,0.797761,0.79782,0.797247,0.797125,0.797162
0.550014,-2.7069665e-06,-0.0079587976,-0.0015509249,0.797069,0.797115,0.797231,0.797439,0.797874,0.797903,0.797249,0.797109,0.797157
0.600052,-3.584534e-06,-0.0080630574,-0.00096093618,0.797087,0.797132,0.797284,0.797528,0.798001,0.797994,0.797262,0.797114,0.797185
0.650045,-5.1177823e-06,-0.0079856124,-0.00020019672,0.797136,0.797162,0.797353,0.797634,0.798132,0.798085,0.797286,0.797131,0.797225
0.700037,-8.5522411e-06,-0.0077765759,1.7663007e-05,0.797199,0.797191,0.797421,0.797741,0.798242,0.798164,0.797321,0.79716,0.797263
0.750013,-1.6274136e-05,-0.0074884542,-0.00058174322,0.797255,0.797201,0.797465,0.797827,0.798311,0.798218,0.797368,0.797192,0.797298
0.800009,-2.8226028e-05,-0.0071638895,-0.001965445,0.797287,0.797188,0.797485,0.797891,0.798334,0.798242,0.797427,0.797223,0.797327
0.850046,-4.5218125e-05,-0.0068317326,-0.0045974255,0.7973,0.797167,0.797491,0.79794,0.798311,0.798236,0.797497,0.797258,0.797347
0.90003,-7.0944531e-05,-0.0065167249,-0.0084081859,0.797309,0.797153,0.797499,0.79799,0.798248,0.798197,0.797574,0.797303,0.797359
0.950013,-0.00010384395,-0.0062422624,-0.0130492,0.797326,0.797165,0.797526,0.798051,0.798152,0.798115,0.797652,0.797349,0.797366
1.00001,-0.00014732384,-0.0060344561,-0.017740829,0.797357,0.797208,0.797577,0.798119,0.798012,0.797977,0.797719,0.797394,0.797361
1.05005,-0.00019960681,-0.0059143744,-0.021465653,0.797389,0.797267,0.797638,0.79817,0.797817,0.797783,0.797752,0.797436,0.797348
1.10003,-0.00026602932,-0.0058845992,-0.026186716,0.797417,0.797326,0.797695,0.798186,0.797557,0.797502,0.797767,0.79747,0.797312
1.15002,-0.00034190182,-0.0059551039,-0.028128603,0.797438,0.797385,0.797727,0.798131,0.797236,0.797168,0.797758,0.797479,0.797294
1.20001,-0.00043316969,-0.0061008546,-0.031239849,0.797441,0.79742,0.797741,0.798029,0.796873,0.79681,0.797721,0.797499,0.797289
1.25006,-0.00053458635,-0.0062714725,-0.033063999,0.797451,0.797466,0.797741,0.797862,0.796488,0.796443,0.797684,0.797535,0.797297
1.30006,-0.0006446644,-0.0064505261,-0.033295999,0.797477,0.797504,0.797717,0.797652,0.796135,0.796105,0.797655,0.797584,0.797314
1.35,-0.00076220584,-0.0066141947,-0.032887397,0.797515,0.797544,0.797687,0.797419,0.79585,0.795835,0.797628,0.797635,0.797337
1.40002,-0.00088693611,-0.0067485647,-0.032226716,0.79756,0.797585,0.797647,0.797167,0.795656,0.795654,0.79759,0.797682,0.797357
1.45005,-0.001016793,-0.0068443107,-0.031771018,0.79761,0.797622,0.797587,0.796898,0.795564,0.795573,0.797527,0.797716,0.797374
1.50002,-0.0011517228,-0.0068993022,-0.031489509,0.797653,0.79764,0.797498,0.796625,0.795593,0.795601,0.797434,0.797737,0.797389
1.55,-0.0012893442,-0.0069122816,-0.031656754,0.797679,0.797635,0.797378,0.796358,0.795746,0.795749,0.797309,0.797744,0.797411
1.60005,-0.0014334752,-0.0068748409,-0.032820225,0.797689,0.797605,0.797229,0.796116,0.796017,0.796016,0.797159,0.797743,0.797445
1.65006,-0.0015826478,-0.0067922574,-0.034685584,0.797679,0.79755,0.79706,0.795927,0.796399,0.796391,0.796985,0.797735,0.797486
1.70001,-0.0017414619,-0.006677887,-0.037156224,0.797652,0.797476,0.796881,0.795805,0.796836,0.79682,0.796799,0.79771,0.797526
1.75003,-0.0019091004,-0.0065515312,-0.039764683,0.797608,0.79738,0.796687,0.795755,0.797278,0.79725,0.796593,0.797658,0.797557
1.80001,-0.0020880164,-0.0064067626,-0.042822944,0.797536,0.797254,0.796484,0.795797,0.797684,0.797646,0.796398,0.797594,0.797582
1.85004,-0.0022799323,-0.0062758129,-0.046225045,0.797456,0.797118,0.796293,0.795928,0.797987,0.79793,0.7962,0.797495,0.797574
1.90001,-0.002482836,-0.0061548429,-0.051001512,0.797356,0.796964,0.796116,0.796138,0.798162,0.798098,0.796047,0.797393,0.797562
1.95006,-0.0026968109,-0.006043583,-0.056654006,0.797229,0.796799,0.795975,0.796418,0.79819,0.798126,0.795939,0.797274,0.797538
2.00004,-0.0029199568,-0.0059638264,-0.06264102,0.797095,0.796636,0.795889,0.796745,0.798077,0.798,0.795874,0.797136,0.797492
2.05003,-0.0031508909,-0.0059094828,-0.068172384,0.796948,0.796469,0.795859,0.797088,0.79785,0.79777,0.795877,0.796997,0.797447
2.10003,-0.0033882379,-0.0058729402,-0.071918289,0.796781,0.796298,0.795884,0.79743,0.797563,0.797476,0.795946,0.796866,0.797406
2.15005,-0.0036289568,-0.0058658904,-0.072687437,0.796599,0.79614,0.795977,0.797731,0.797256,0.797143,0.796069,0.796726,0.797355
2.20001,-0.0038716535,-0.0058843029,-0.070228569,0.796406,0.796005,0.796133,0.797956,0.796969,0.796832,0.796248,0.796586,0.7973
2.25002,-0.0041137101,-0.0059105898,-0.064679541,0.796186,0.795895,0.796333,0.798084,0.796744,0.79659,0.796484,0.79646,0.797252
2.30004,-0.00435226,-0.0059472869,-0.056579954,0.795951,0.795818,0.796565,0.798094,0.79659,0.796429,0.796755,0.796344,0.797206
2.35,-0.0045855912,-0.0059938716,-0.047129517,0.795716,0.795783,0.79681,0.797975,0.796505,0.796347,0.797035,0.796237,0.797153
2.40005,-0.0048127399,-0.0060345919,-0.037411772,0.795473,0.795784,0.797043,0.797738,0.796485,0.796349,0.797319,0.796149,0.797092
2.45004,-0.0050306125,-0.0060606819,-0.028930565,0.795225,0.795817,0.797246,0.797404,0.796517,0.796427,0.797581,0.796093,0.797034
2.50004,-0.005240229,-0.0060753693,-0.022271104,0.794991,0.795886,0.797391,0.796999,0.796582,0.79655,0.79779,0.796067,0.796974
2.55004,-0.0054384476,-0.0060778619,-0.01836617,0.794777,0.795974,0.797456,0.796584,0.796666,0.796699,0.797923,0.796072,0.796906
2.60003,-0.0056263816,-0.0060616735,-0.017308662,0.794577,0.796068,0.797421,0.79619,0.796761,0.796865,0.797972,0.796114,0.796837
2.65002,-0.0058029782,-0.0060300306,-0.019042107,0.794401,0.796156,0.797279,0.795865,0.796853,0.797031,0.79793,0.796203,0.796775
2.70004,-0.0059684533,-0.005994136,-0.02314371,0.794238,0.796216,0.797028,0.795642,0.796931,0.797176,0.79779,0.796328,0.796713
2.75002,-0.0061217847,-0.0059539258,-0.029027166,0.794078,0.796221,0.796679,0.795528,0.796985,0.797283,0.79756,0.796482,0.796643
2.80004,-0.0062656177,-0.0059101789,-0.036022188,0.793912,0.796156,0.796244,0.795522,0.797,0.797348,0.797266,0.796669,0.796577
2.85005,-0.0063999897,-0.0058723336,-0.043058397,0.793725,0.796001,0.795756,0.795608,0.796969,0.797365,0.796938,0.796883,0.796518
2.9,-0.0065238692,-0.0058461154,-0.049000768,0.7935,0.795746,0.79524,0.795743,0.796883,0.797328,0.79661,0.797108,0.796468
2.95006,-0.0066410089,-0.0058332776,-0.053269575,0.793219,0.795378,0.794727,0.795885,0.79674,0.797249,0.796304,0.797332,0.796424
3.00003,-0.0067506184,-0.005837812,-0.055414033,0.792872,0.794895,0.794252,0.795992,0.796551,0.797149,0.79606,0.797542,0.796403
3.05001,-0.0068564453,-0.0058604792,-0.055396375,0.792452,0.794316,0.793837,0.796029,0.796329,0.79704,0.79591,0.797728,0.79641
3.10001,-0.0069593735,-0.0059040227,-0.053721815,0.791934,0.793641,0.793499,0.795965,0.796086,0.796938,0.795859,0.797871,0.796442
3.15003,-0.0070629279,-0.0059703056,-0.050769506,0.791323,0.792894,0.793237,0.795792,0.795839,0.796851,0.795917,0.797958,0.796496
3.20003,-0.0071685882,-0.0060549246,-0.047385066,0.790605,0.792102,0.793044,0.795517,0.795596,0.796783,0.796082,0.79799,0.796576
3.25001,-0.0072794398,-0.0061546441,-0.044241959,0.789778,0.791286,0.792901,0.795149,0.795356,0.796731,0.796338,0.797965,0.796682
3.30006,-0.0073987285,-0.0062683893,-0.042105825,0.788849,0.790469,0.792773,0.794715,0.795116,0.796691,0.796648,0.797875,0.7968
3.35002,-0.0075299033,-0.0063943939,-0.0413132,0.787833,0.789673,0.792618,0.794233,0.794877,0.796659,0.796973,0.797724,0.796923
3.40006,-0.0076758026,-0.0065257451,-0.042396692,0.786749,0.78891,0.792395,0.793717,0.794633,0.796635,0.797286,0.797525,0.797054
3.45005,-0.0078401731,-0.0066630907,-0.04531713,0.785629,0.788198,0.792065,0.793179,0.794374,0.796619,0.797542,0.797291,0.797189
3.50002,-0.0080248906,-0.0068066319,-0.050055833,0.784502,0.787536,0.79161,0.792626,0.794093,0.796609,0.797709,0.797031,0.797311
