date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
0.0,0.0,0.0,-0.0,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718
0.0500451,0.0,-0.0001707077,-0.0,0.797172,0.797172,0.797173,0.797175,0.79718,0.79718,0.797173,0.797172,0.797172
0.100056,0.0,-0.00065022707,-0.0,0.797157,0.797158,0.797161,0.797168,0.797186,0.797186,0.797161,0.797157,0.797157
0.150033,0.0,-0.0013800859,-0.0,0.797147,0.79715,0.797156,0.79717,0.797212,0.797212,0.797156,0.797147,0.797147
0.20002,0.0,-0.0022881627,-0.0,0.79717,0.797116,0.797162,0.797202,0.797265,0.797267,0.797168,0.797152,0.79715
0.250009,5.6286528e-06,-0.0033204035,0.0048647416,0.797224,0.797236,0.797202,0.797188,0.797298,0.797346,0.797191,0.797166,0.797162
0.300059,-7.1229755e-06,-0.0044137419,-0.0057196953,0.797228,0.797268,0.797291,0.797311,0.797407,0.797446,0.797217,0.79717,0.797172
0.350045,-1.6874625e-06,-0.005495204,-0.0009668243,0.797249,0.797293,0.797334,0.797389,0.797538,0.797569,0.797261,0.797165,0.797202
0.400027,6.4533987e-07,-0.0064209145,0.00091618585,0.797272,0.79731,0.797351,0.797428,0.797635,0.797616,0.797326,0.79719,0.797152
0.450002,8.405909e-07,-0.0071823751,0.0010280612,0.797265,0.797295,0.797337,0.797435,0.797703,0.797671,0.797313,0.797224,0.797126
0.500029,-5.1392313e-08,-0.0077444223,0.00051697528,0.797235,0.797262,0.797308,0.79743,0.797765,0.797749,0.797295,0.797221,0.797146
0.550002,-1.1900358e-06,-0.0080829314,-0.00013542476,0.797188,0.797227,0.797282,0.797429,0.797832,0.797843,0.797294,0.797209,0.797165
0.600035,-1.5435846e-06,-0.0081894552,-0.00088439164,0.797138,0.797198,0.797269,0.797445,0.797912,0.797954,0.797311,0.797207,0.797185
0.650012,-8.3039565e-07,-0.0080932482,-0.0010221739,0.797094,0.79718,0.797273,0.797486,0.798004,0.798072,0.797343,0.797208,0.7972
0.700055,1.3236276e-06,-0.0078438829,-0.00033444505,0.797063,0.797179,0.797301,0.797559,0.798103,0.798181,0.797381,0.797205,0.797204
0.75004,5.4712622e-06,-0.0074994256,0.00094916132,0.797054,0.797198,0.797354,0.797659,0.798186,0.798259,0.797414,0.797191,0.797193
0.800016,1.2376931e-05,-0.0071193063,0.002720299,0.797074,0.797236,0.797426,0.797771,0.798239,0.79829,0.79744,0.797168,0.79717
0.850051,2.2159833e-05,-0.0067504339,0.0045008633,0.797116,0.797285,0.797509,0.79788,0.79824,0.798266,0.797466,0.797149,0.797145
0.900026,3.4588004e-05,-0.0064314475,0.0056113595,0.797174,0.797336,0.797591,0.797965,0.798173,0.79819,0.797499,0.797143,0.797122
0.950003,5.0656383e-05,-0.0061796159,0.0060753383,0.797236,0.797375,0.797662,0.798015,0.798036,0.798065,0.797549,0.79717,0.797107
1.00004,6.9483519e-05,-0.0060047152,0.0053876032,0.79729,0.797395,0.797716,0.798028,0.797836,0.797898,0.79762,0.797226,0.797113
1.05001,9.1573002e-05,-0.0059058585,0.0027438521,0.797339,0.797403,0.797751,0.797998,0.797587,0.797676,0.797718,0.7973,0.797122
1.10004,0.00012019351,-0.0058854994,0.0027497404,0.797388,0.797415,0.797773,0.797925,0.797296,0.797427,0.797809,0.797378,0.797158
1.15006,0.00014946995,-0.0059194698,-0.00014720108,0.797439,0.797424,0.797795,0.797846,0.796983,0.797123,0.797881,0.797469,0.797168
1.2,0.00018738672,-0.0059938174,0.00026731842,0.79752,0.797473,0.797808,0.797721,0.796671,0.796774,0.797947,0.797532,0.797162
1.25006,0.00022739992,-0.0061276463,0.00079018169,0.79761,0.797519,0.7978,0.797588,0.796388,0.796425,0.797977,0.797557,0.797163
1.30005,0.0002682805,-0.0062861145,-0.0003756604,0.797687,0.797582,0.797787,0.797436,0.796118,0.796097,0.797959,0.797559,0.797179
1.35005,0.0003082873,-0.0064445447,-0.0025884039,0.797762,0.79765,0.797739,0.797238,0.795876,0.795822,0.7979,0.797554,0.797211
1.40005,0.00034909482,-0.0065837004,-0.0059811273,0.797812,0.797693,0.79764,0.796996,0.795695,0.795632,0.797808,0.797548,0.797252
1.45006,0.00038747967,-0.0066901605,-0.010214658,0.797828,0.797703,0.797498,0.796734,0.795598,0.795556,0.79769,0.797545,0.797295
1.50006,0.00042409436,-0.0067505985,-0.015460969,0.797814,0.797687,0.79733,0.796462,0.795611,0.795611,0.797544,0.797544,0.79733
1.55,0.00045670014,-0.0067586445,-0.021363174,0.797787,0.797652,0.797155,0.796201,0.795738,0.795795,0.797372,0.797542,0.79735
1.60003,0.00048668801,-0.0067165848,-0.027670493,0.797755,0.797598,0.79698,0.795974,0.795976,0.796094,0.797171,0.797534,0.797354
